No,English,Japanese,Chapter
68,acute,鋭い、激しい、急性の,1
69,adapt,適応する、を（～に）適応させる（to）,1
70,add,加える、付け加えて言う,1
71,addict,中毒患者、〔受身で〕（～の）中毒になる,1
72,addicted,中毒である,1
73,addiction,中毒、熱中,1
74,address,演説する、話しかける、取り組む、住所、演説、あいさつ,1
75,adequate,十分な、適切な,1
76,adhere,くっつく、粘着する、固執する,1
77,adjective,形容詞、形容詞の,1
78,adjust,適応させる、適応する,1
79,administer,管理する、運営する,1
80,administration,管理、経営、運営、行政、政府、政権,1
81,admire,賞賛する、感心する,1
82,admit,認める、入場を認める,1
83,adolescence,青春期［時代］、思春期、発展期,1
84,adolescent,青年、青年期の,1
85,adopt,採用する、（態度など）をとる、養子にする,1
86,adore,あこがれる、慕う、崇拝する,1
87,adult,大人； 大人の,1
88,advance,進歩、前進、進歩させる（する）,1
89,advantage,利益、利点、優勢、有利な立場,1
90,advent,出現、到来,1
91,adventure,冒険,1
92,adverse,逆の、不都合な、不利な、有害な、敵対的な,1
93,adversity,逆境、不運,1
94,advertise,広告する、宣伝する、公にする,1
95,advertisement,広告,1
96,advertising,宣伝、広告,1
97,advise,忠告（助言）する,1
98,advocate,主張する、唱える、支持する、支持者、主張・提唱者,1
99,aesthetic,美的な、美学の,1
100,affair,出来事、問題、仕事、（～s）事情,1
101,affect,影響を与える、～のふりをする、～を愛用する,1
102,affection,愛情,1
103,affectionate,愛情のこもった、やさしい,1
104,affirm,肯定する、断言する、肯定する、断言する,1
105,affirmative,肯定的な、肯定、賛成,1
106,afflict,(通常受動態で)を悩ませる、を苦しめる,1
107,affluent,（経済的に）豊かな、裕福な、おびただしい、豊富な,1
108,afford,（～を持てるだけの経済的）余裕がある、～を与える,1
109,afterward,その後で、後に,1
110,age,年齢、年代、老年、（歴史上の）時代、年を取る,1
111,aged,年老いた,1
112,agency,機関、代理店,1
113,agenda,協議事項（リスト）、議事日程（表）、（政治上の）課題,1
114,agent,代理人、行為者、薬剤、（反応・変化を起こす）力,1
115,aggressive,攻撃的な、けんか腰の、積極的な,1
116,aggressively,攻撃的に、積極的に,1
117,agitate,動揺（興奮）させる、扇動する、かくはんする,1
118,agitation,動揺、興奮、扇動,1
119,agitator,扇動家,1
120,agony,(心身の)苦痛、苦悩,1
121,agree,同意する、賛成する、合う,1
122,agreeable,好みに合う、感じのよい、同意する、ふさわしい,1
123,agricultural,農業の,1
124,agriculture,農業、農学、畜産,1
125,ahead,前方へ（に）、事前に、出世して,1
126,aid,支援、救援（物資）、を援助する、助けとなる,1
127,aim,目的、目標にする、狙う、努力する（to do）,1
128,air,空気、空中、様子、（複数）気取り,1
129,aircraft,航空機,1
130,airline,定期航空路、航空会社,1
131,aisle,(座席間などの)通路,1
132,akin,同様の、同種の、類似した,1
133,alarm,恐れ、目覚まし時計、警報、を驚かせる、不安にさせる,1
134,alarmingly,不安にさせるほど、驚くほど、（文修飾）驚いたことに,1
135,alcohol,酒、アルコール,1
136,alcoholic,アルコールの,1
137,alert,油断のない、警戒を怠らない、機敏な、注意を呼びかける,1
138,algebra,代数（学）,1
139,algorithm,アルゴリズム、問題解決の手順,1
140,alien,外国の、異質の、～と相容れない、外国人、宇宙人,1
141,alike,同様の（に）、似ている,1
142,alive,生きて、元気で,1
143,all,すべて（のもの）、全く,1
144,allege,主張する,1
145,allergy,アレルギー,1
146,alleviate,軽くする、軽減する,1
147,allocate,割り当てる、分配する,1
148,allot,分配する、割り当てる、充当する,1
149,allow,許す、認める、～が…するのに任せる、考慮に入れる（for）,1
150,allowance,小遣い、手当、許可,1
151,ally,同盟者〔国〕、結びつく、連合する、同盟する,1
152,alongside,横に、～と並んで、～と一緒に,1
153,aloof,離れて、よそよそしくて,1
154,aloud,声に出して,1
155,alphabetical,アルファベットの、アルファベット順の,1
156,alter,変える、変わる,1
157,alternate,代わりの、交互の、交替する、交互に現れる、交互にする,1
158,alternative,代替手段、選択肢、二者択一の、代わりの,1
159,although,…だが、…にもかかわらず,1
160,altitude,高度、標高、海抜,1
161,altogether,完全に、全く、要するに、合計して,1
162,amateur,アマチュア、素人、未熟な、下手な,1
163,amaze,びっくりさせる、驚かせる,1
164,ambassador,大使、代表、使節,1
165,ambiguous,あいまいな、両義にとれる,1
166,ambition,願望、野望、野心,1
167,ambitious,大望を抱いた、熱望している、野心的な,1
168,ambivalence,相反［矛盾］する感情、両面価値,1
169,ambivalent,矛盾する、相反する、どちらか決めかねて,1
170,ambulance,救急車,1
171,amend,修正する、改正する,1
172,amendment,改正、修正,1
173,amiable,愛想のよい,1
174,amount,量、合計、総額、総計～に達する、～に等しい,1
175,ample,十分すぎるほどの、豊富な、広い、広大な,1
176,amuse,おもしろがらせる、楽しませる,1
177,amusement,娯楽、面白さ,1
178,analogy,類推、類似、類似点,1
179,analysis,分析（結果）、解明,1
180,analyze,分析する,1
181,anarchy,無秩序,1
182,anatomy,構造、解剖学,1
183,ancestor,祖先、先駆者、原型,1
184,ancestral,先祖伝来の、先駆者の、原型をなす,1
185,ancient,古代の、昔の、昔からの、（物などが）とても古い,1
186,anecdote,逸話,1
187,anger,怒り,1
188,angle,観点、角（度）,1
189,angry,怒って,1
190,anguish,苦悩させる、苦悩する、苦痛、悲しみ,1
191,animate,アニメ化する、活気づける、駆り立てる、生きている、活発な,1
192,animation,アニメ(製作)、活気,1
193,ankle,足首,1
194,anniversary,（～周年）記念日,1
195,announce,発表［公表］する、知らせる、（物事が）を告げる,1
196,annoy,いらいらさせる、悩ます、〔受身形で〕腹が立つ,1
197,annual,１年間の、年１回の、例年の,1
198,anonymous,匿名の、無名の,1
199,ant,アリ,1
200,Antarctic,南極地方,1
201,anthropologist,人類学者,2
202,anthropology,人類学,2
203,antibiotic,〔通例～s〕抗生物質,2
204,anticipate,予想する、予期する、楽しみにして待つ,2
205,antipathy,反感、嫌悪（感）,2
206,antique,骨董品の、年代物の、古風な,2
207,antiquity,古代、古物,2
208,anxious,"心配している(about)、切望している(for, to do)",2
209,anymore,（否定・疑問文）もはや（…できない）,2
210,anyway,（肯定文）とにかく、（否定文）どうしても,2
211,apart,離れて、個々に,2
212,apathy,無感動、無関心、冷淡,2
213,ape,猿、類人猿,2
214,apologize,謝る、弁明する,2
215,apology,謝罪,2
216,appall,ぎょっとさせる,2
217,apparatus,装置、器具一式、機構,2
218,apparent,［叙述用法］明白な、［限定用法］見たところ～らしい,2
219,apparently,一見したところ～のようだ,2
220,appeal,訴える、懇願する、求める、興味を引く、魅力、人気、訴え、要請,2
221,appear,～のように見える、現れる,2
222,appearance,外見、様子、出現,2
223,appetite,食欲、欲求,2
224,applaud,～に大きな拍手を送る,2
225,applause,拍手（喝采）,2
226,appliance,器具、電気製品,2
227,applicable,適用できる、応用できる、ふさわしい,2
228,apply,適用する、応用する、 申し込む(for～)、塗る、当てはまる,2
229,appoint,（役職に）を任命する、（時・場所など）を指定する,2
230,appointment,任命、約束、職、任務,2
231,appreciate,正しく理解する、正しく評価する、感謝する、鑑賞する,2
232,apprehension,不安、理解力、逮捕,2
233,approach,近づく、取り組む、取り組み(方)、接近（方法）,2
234,appropriate,適切な、ふさわしい,2
235,approve,賛成する、承認する,2
236,approximate,おおよその、近似の,2
237,approximately,おおよそ,2
238,apt,～しがちである、～する傾向がある、ふさわしい,2
239,arbitrary,任意の、勝手な、恣意的な、気まぐれな,2
240,archaeologist,考古学者,2
241,archaeology,考古学,2
242,architecture,建築(学)、建築技術,2
243,archive,公文書（保管所）、保存記録,2
244,Arctic,北極の,2
245,ardent,激しい、熱心な,2
246,ardently,熱烈に、熱心に,2
247,area,部分、地域、分野,2
248,argue,と主張する、議論する,2
249,arise,起きる、(～から)生じる(from～),2
250,aristocracy,貴族政治、（the～)、貴族階級,2
251,aristocratic,貴族的な、貴族の、貴族政治の,2
252,arithmetic,算数の、算数,2
253,arm,腕、（～sで）武器,2
254,arms,武器、軍備,2
255,army,軍隊、陸軍,2
256,arouse,引き起こす、刺激する、目覚めさせる,2
257,arrange,手はずを整える、きちんと並べる、取り決める,2
258,arrangement,手配、配置、取り決め,2
259,array,多彩,2
260,arrest,逮捕する、止める、逮捕,2
261,arrival,到着,2
262,arrogant,ごう慢な、横柄な,2
263,art,芸術、美術、技術、こつ、(～s)人文科学,2
264,artery,動脈,2
265,article,記事、論文、品物、物、条件、冠詞,2
266,articulate,はっきり述べる、明瞭な,2
267,artifact,工芸品,2
268,artificial,人工の、不自然な,2
269,artistic,芸術的な,2
270,ascend,上がる、上げる,2
271,ascertain,確認する、確かめる,2
272,ascribe,～を（…の）せいにする、～を（…の）作品とする,2
273,ascription,原因があるとすること、理由付け,2
274,ash,灰,2
275,ashamed,恥ずかしがって、恥じている,2
276,aside,わきに、離して,2
277,asleep,眠って,2
278,aspect,（物事の）側面、観点、様相,2
279,aspiration,熱望,2
280,aspire,切望する、熱望する、求める,2
281,assassination,暗殺,2
282,assault,襲撃(する)、暴行(する),2
283,assemble,集まる、集める、組み立てる,2
284,assent,同意する、同意、承諾,2
285,assert,断言する、主張する、行使する,2
286,assess,評価（判断）する、査定する,2
287,asset,有用なもの、貴重な存在、資産、財産,2
288,assign,割り当てる、配属する,2
289,assignment,任務、課題、割り当て,2
290,assimilate,同化する、吸収する、自分のものにする,2
291,assist,援助する、手伝う,2
292,assistant,助手,2
293,associate,結び付ける、連想する、交際する、仲間,2
294,assume,想定する、思い込む、（責任・任務）を引き受ける,2
295,assure,保証する、安心させる,2
296,asteroid,小惑星、ヒトデ,2
297,astonish,ひどく驚かせる,2
298,astound,びっくり仰天させる、愕然とさせる,2
299,astrology,占星術,2
300,astronomy,天文学,2
301,athlete,運動選手、競技者、スポーツ選手,2
302,Atlantic,大西洋の,2
303,atmosphere,大気、雰囲気,2
304,atom,原子,2
305,attach,くっつける、取り付ける、愛着を持たせる,2
306,attachment,付着(物)、取り付け、愛着,2
307,attack,攻撃、非難、（病気などの）発作、を攻撃する、を非難する,2
308,attain,獲得する、達成する、に達する,2
309,attempt,試み、攻撃、を試みる、…しようとする,2
310,attend,出席する、注意して聞く(to～)、付き添う(on～),2
311,attention,注目、注意、世話,2
312,attitude,態度、考え方,2
313,attorney,弁護士、検事、（法定）代理人,2
314,attract,引きつける、魅了する,2
315,attraction,魅力、呼び物,2
316,attribute,～のせいにする、～のおかげと考える,2
317,audible,聞こえる,2
318,audibly,聞こえるように,2
319,audience,聴衆、観客、視聴者,2
320,auditorium,講堂、公会堂、観客席,2
321,authentic,本物の、確実な、信用できる,2
322,author,著者、作者,2
323,authority,関係当局、権威、権限,2
324,autocrat,独裁者、専制君主,2
325,autograph,（有名人などの）サイン,2
326,automatic,自動の、無意識な,2
327,automobile,自動車,2
328,autonomous,自動運転,2
329,autonomy,（個人の）自律、自治（権）、自治体,2
330,avail,利用する、活用する、役立つ,2
331,available,利用できる、入手できる、手の空いている,2
332,avenge,あだを討つ,2
333,avenue,大通り、道、手段、方法,2
334,average,平均、平均的な,2
335,avert,避ける、防ぐ、（目・注目・顔を）そらす,2
336,aviation,航空（学）,2
337,avoid,避ける,2
338,await,待つ、待ち受ける、待つ,2
339,awaiting,待つ,2
340,awake,目覚めて、気づいて、目が覚める、を起こす,2
341,awaken,目覚めさせる、覚める,2
342,award,賞（金）、（審査して）を授与する,2
343,aware,気づいている,2
344,awe,畏れ、畏敬の念、（be awed）畏敬の念を抱く,2
345,awful,(光景などが）恐ろしい、ひどい,2
346,awkward,不器用な、落ち着かない、やっかいな、扱いにくい、ぎこちない,2
347,axis,軸,2
348,back,背中、後部,2
349,background,背景、生い立ち、経歴,2
350,bacteria,細菌、バクテリア,2
351,badly,まずく、とても（欲しい）、ひどく,2
352,baggage,手荷物、旅行荷物、（集合的に）（旅行時の）荷物,2
353,balance,均衡、バランス、（体の）平衡、残高,2
354,bald,はげた、葉のない、味けのない、ありのままの,2
355,bamboo,竹,2
356,ban,禁止する、禁止（令）,2
357,bang,ドンとたたく、バタンと閉まる、ドカンという音,2
358,banish,追い出す、追放する,2
359,bank,銀行、土手,2
360,bankrupt,破産した、を破産させる,2
361,bar,棒、障害物、軽食堂、法廷、弁護士業、妨げる、除外する,2
362,barbarian,野蛮な、未開の、未開人,2
363,bare,裸の、むき出しの、ありのままの、ぎりぎりの、最低限の,2
364,barely,かろうじて,2
365,bargain,買い得品、取引、契約,2
366,bark,吠える,2
367,barn,納屋、物置,2
368,barometer,気圧計、指標、バロメーター,2
369,barrel,バレル（液量の単位）、たる,2
370,barren,～の欠けた、（土地が）やせた、不毛の,2
371,barrier,障壁、防壁,2
372,barter,物々交換する,2
373,base,～の基礎［根拠］を置く,2
374,basic,基礎の、基礎知識,2
375,basin,流域、盆地、海盆、洗面器［台］,2
376,basis,基礎、根拠、方式、やり方,2
377,bat,コウモリ、バット、バットで打つ,2
378,bathe,入浴する（させる）,2
379,battery,電池,2
380,battle,戦う、戦闘,2
381,bay,入江、湾,2
382,bear,耐える、運ぶ、生む、身につける、持っている,2
383,beard,あごひげ,2
384,bearing,方向、関連、関係、(自分の)位置、物腰、態度,2
385,beast,獣、動物,2
386,beat,たたく、打ち負かすたたくこと、鼓動,2
387,beauty,美人、美しさ,2
388,bee,（総称）ハチ、ミツバチ,2
389,beforehand,前もって、事前に,2
390,beg,切に頼む、懇願する,2
391,behalf,利益、支持,2
392,behave,振る舞う、行儀よくする,2
393,behavior,行動、態度,2
394,behind,後ろに、～よりも劣って,2
395,belief,信念、確信、信じること、信頼,2
396,belong,～に属する、～の所有である,2
397,bend,曲がる、かがむ、屈服する、を曲げる,2
398,beneath,～の下に,2
399,benefit,恩恵、利益、利益を得る、に利益を与える,2
400,benevolent,親切な、善意の、寛大な、慈善の,2
401,benign,良性の、害のない； 有益な,3
402,bent,好み、傾向,3
403,besides,さらに、に加え、（否定文・疑問文で）以外に,3
404,bestow,授ける、与える,3
405,bet,賭け、考え、賭ける、予期する,3
406,betray,裏切る、（秘密など）をもらす、表情（表）に出す,3
407,beverage,飲み物、飲料,3
408,bewilder,うろたえさせる、当惑〔動転〕させる,3
409,beyond,～の向こうに、～できる範囲をこえて,3
410,bias,偏見、～に偏見を持たせる、～に偏見をもたらす,3
411,bible,聖書、必読書,3
412,bid,値をつける、（挨拶）を述べる,3
413,bilateral,相互の、二者［二国］間の,3
414,bilingual,２カ国語を話す（人）,3
415,bill,請求書、【英】勘定書、法案,3
416,billion,10億,3
417,bind,縛る、束縛する、結び付ける,3
418,biography,伝記、伝記文字,3
419,biological,生物学（上）の,3
420,biology,生物学,3
421,birth,誕生,3
422,birthrate,出生率,3
423,bishop,主教、司教,3
424,bit,（a～）少し,3
425,bite,かむ、かみつく、刺す,3
426,bitter,苦い、つらい、辛辣な、怒りっぽい,3
427,blade,刃、（プロペラなどの）羽根、（草などの）葉,3
428,blame,非難する、責任を負わせる,3
429,blank,空白の、無表情な、がらんとした,3
430,blast,爆破する、破滅させる,3
431,blaze,輝く、燃え立つ、炎、きらめき、（感情などの）激発,3
432,bleed,出血する,3
433,blend,混ぜる、調和させる、（～に）溶け込む,3
434,bless,祝福する、恵みを与える,3
435,blessing,恵み、ありがたいもの、承認、支持、神の加護,3
436,blindness,盲目、無知、無分別,3
437,blink,まばたく、まばたきをする、まばたき,3
438,bliss,この上ない喜び、至福、（bliss out）いい気分になる,3
439,block,障害物、かたまり、区画、ふさぐ、妨害する,3
440,blood,血、血統、血筋,3
441,bloom,栄える、咲く、花、開花的、最盛期,3
442,blossom,花が咲く、繁栄する、開花する、花、開花,3
443,blow,息を吐く、（風が）吹く、を吹く、打撃,3
444,blueprint,青写真、詳細な計画,3
445,blunder,大失敗する、大失敗,3
446,blur,ぼかす、汚す、ぼやける、汚れる、ぼやけ、汚れ,3
447,blush,顔を赤らめる、恥ずかしく思う、赤面すること,3
448,board,板、委員会、に搭乗する,3
449,boast,自慢する、誇る、自慢（の種）、誇り,3
450,bob,上下に動く、急に動く、を上下に動かす,3
451,bodily,身体〔肉体〕上の、肉体的な,3
452,boil,煮る、沸騰する、煮える、沸騰する,3
453,bold,大胆な、怖いもの知らず、ずうずうしい,3
454,bomb,爆弾、大失敗,3
455,bond,きずなをくっつける,3
456,bondage,（行動の自由の）束縛、捕らわれの身,3
457,book,～を予約する,3
458,boom,大流行、にわか景気,3
459,boost,促進する、高める,3
460,border,境界（線）、国境、縁、～に接する、～に縁を付ける,3
461,bore,退屈させる、退屈な人（もの）,3
462,boredom,退屈,3
463,borrow,借りる、取り入れる,3
464,boss,社長、雇用主、上司,3
465,botanist,植物学者,3
466,botany,植物学,3
467,both,両方とも、両方の,3
468,bother,悩ます、困らせる、邪魔する、思い悩む、面倒、悩みの種,3
469,bottom,底、最下部,3
470,bough,大枝.,3
471,bounce,跳ねる、反射する、を弾ませる、（メールが）返送される,3
472,bound,跳ぶように走る、はずむ、跳ぶこと、限界、束縛された、～行きの,3
473,boundary,境界(線)、限界,3
474,bow,おじぎする、おじぎ,3
475,brain,脳、頭脳、知識人、知能、知的顧問,3
476,branch,枝、支店、部門,3
477,brand,ブランド、銘柄,3
478,brave,勇敢な、見事な,3
479,break,休憩、破損、骨折,3
480,breakdown,崩壊、破綻、悪化、分解、分析,3
481,breakthrough,大発見、突破口,3
482,breathe,呼吸する,3
483,breed,産む、育てる、品種,3
484,breeze,そよ風,3
485,bribe,わいろ,3
486,bride,花嫁,3
487,brief,短時間の、簡潔な、簡単な要点を伝える、要約,3
488,bright,明るい、輝いている、頭が良い,3
489,brilliant,すばらしい、才能にあふれた、きらめく,3
490,brisk,元気な、活発な,3
491,British,イギリス人、イギリス（人）の,3
492,broad,広範囲に及ぶ、（幅・面積の）広い,3
493,broadcast,放送する、言いふらす、放送された、放送,3
494,bronze,青銅、青銅（色）の,3
495,browse,拾い読みする、閲覧する,3
496,bruise,あざ、打撲傷、～に打撲を負わせる,3
497,brush,ブラシ、ブラシをかける,3
498,brutal,野蛮な、残酷な、残忍な、理性のない,3
499,brute,獣、動物,3
500,bud,芽、つぼみ,3
501,Buddhism,仏教,3
502,budget,予算、経費、予算案、（時間、金額）をわりあてる,3
503,bug,虫、（機械・プログラムの）欠陥,3
504,bulk,大半、大きさ、大量,3
505,bullet,弾丸,3
506,bully,いじめる、いじめっ子,3
507,bullying,いじめ,3
508,bump,（ドンと）ぶつかる、ばったり会う,3
509,bunch,束、集団、群れ,3
510,bundle,包み、を束ねる、を包みにする,3
511,burden,負担、（重い）義務、積み荷,3
512,bureau,（官庁の）局、事務局、案内所,3
513,bureaucracy,官僚、官僚主義,3
514,bureaucrat,官僚,3
515,burglar,泥棒、強盗,3
516,burn,焼く（焼ける）、燃やす（燃える）,3
517,burst,爆発する、破裂させる、突然始まる、爆発,3
518,bury,埋める、埋葬する、隠す,3
519,bush,低木、茂み,3
520,business,事柄、こと、商売、事業、仕事、業務,3
521,bustle,喧噪,3
522,cabinet,内閣、飾り戸棚、キャビネット,3
523,cafeteria,社員食堂、学食,3
524,cage,(鳥・獣を入れる)かご、檻,3
525,calamity,大災害、不幸,3
526,calculate,計算する、予想する、判断［推定］する,3
527,calm,落ち着いた、平静、静まる、を静める,3
528,calorie,カロリー,3
529,campaign,選挙活動、政治活動、軍事行動、促進販売,3
530,campus,構内、キャンパス,3
531,canal,運河,3
532,cancer,癌、（社会などの）害悪,3
533,candidate,候補（者）、志願者,3
534,capable,能力がある、有能な,3
535,capacity,（最大）容量、収容能力、（潜在）能力,3
536,capital,資本(金)、首都、大文字、資本の、主要な、大文字の,3
537,capricious,気まぐれな,3
538,captivate,魅了する、の心を奪う,3
539,capture,(人・動物)を捕らえる、引きつける、逮捕,3
540,caput,頭（複capita),3
541,carbon,炭素,3
542,cardboard,段ボール、厚紙、ボール紙,3
543,care,いやと思う、気にかける、,3
544,career,経歴、職業、生涯、成功、出世,3
545,carefully,注意深く,3
546,cargo,貨物,3
547,caricature,風刺画［文］、戯画、下手なまねごと,3
548,carriage,馬車、うば車<米>、（鉄壁道の）客車<英>,3
549,cart,カート、手押し車、荷車、運ぶ,3
550,cartoon,漫画、アニメ,3
551,carve,彫る、切り開く、切り分ける,3
552,case,症例、実例、場合、事件、主張、論拠、(the)事実,3
553,cash,現金,3
554,cast,投げ(かけ)る、役を割り当てる、配役,3
555,castle,城,3
556,casual,何気ない、無頓着な、偶然の、瞬時の,3
557,casualty,死傷者、人的損害、災難、大事故,3
558,catastrophe,惨事、大惨事、大災害、破局,3
559,catastrophic,破滅的な、大災害の,3
560,catch,間に合う、感染する、つかむ、見つける,3
561,category,部類、区分、範疇,3
562,cater,食事を出す、必要な物を提供する、欲求を満たす,3
563,cathedral,大聖堂,3
564,Catholic,カトリックの、カトリック教徒,3
565,cattle,ウシ,3
566,causally,原因となって,3
567,cause,原因、理由、大義,3
568,caution,用心、警告,3
569,cautious,注意深い、用心している,3
570,cave,洞窟,3
571,cavity,穴、空洞、腔、虫歯,3
572,cease,やめる、やむ、終わる,3
573,ceaseless,絶え間ない,3
574,ceiling,天井、（金額などの）上限,3
575,celebrate,祝う、褒め称える、賛美する,3
576,celebration,祝賀（会）、称賛,3
577,celebrity,有名人,3
578,celestial,天体の,3
579,cell,細胞、個室、(刑務所の)独房、電池,3
580,censorship,検閲,3
581,census,国勢［市勢］調査、（主に人口の）一斉調査,3
582,cent,（単位としての）100、セント（1/100ドル）,3
583,center,中心、中央、（施設としての）センター,3
584,century,世紀,3
585,cereal,〔通例～s〕穀物、シリアル（穀物加工食品）,3
586,ceremony,（儀）式、礼儀,3
587,certain,ある特定の、確信している,3
588,certificate,証明書、に証明書を与える,3
589,chain,連鎖、鎖、束縛、チェーン（店）,3
590,chairperson,議長、会長,3
591,challenge,挑戦、難問、挑戦する、異議を唱える,3
592,chamber,部屋、議場、議院,3
593,chance,機会、偶然、見込み、たまたま～する（to do）,3
594,change,変える、変わる、変化、釣り銭、小銭,3
595,channel,経路、チャンネル、海峡,3
596,chaos,混乱、騒動、無秩序,3
597,chapter,(書類などの)章、支部、分会,3
598,character,性格、個性、特徴、登場人物、人格、文字,3
599,characteristic,特徴,3
600,charge,請求する、非難する、告発する、料金、非難、告発、責任,3
601,charity,慈善(行為)、思いやり、慈善団体[基金]、慈善事業,4
602,charm,魅力、魔力、魔よけ、魔法をかける、魅惑する,4
603,chart,図、グラフ、海図、ヒットチャート,4
604,chase,追跡する、追求する,4
605,chat,おしゃべり、おしゃべりする,4
606,cheap,安い、安っぽい,4
607,cheat,だます、不正をする、不正行為、カンニング,4
608,check,預かり所、検査、点検、小切手、調べる、阻止する,4
609,cheek,ほお,4
610,cheer,元気付ける、声援を送る、元気づく、喝采、元気,4
611,chemical,化学物質（製品）、化学の、科学的な,4
612,chemistry,科学,4
613,cherish,大切に心に抱く、育てる、かわいがる、心から愛する,4
614,chest,胸、箱、タンス,4
615,chew,かむ、をかみ砕く,4
616,chief,主要な、最高位の、長（官）,4
617,childhood,少年［少女］時代、子供時代.,4
618,chill,冷やす、怖がらせる、冷える、寒気を感じる、恐怖心,4
619,chilly,ひんやりとした、(寒さで)ぞくぞくする,4
620,chimpanzee（chimp）,チンパンジー,4
621,chin,あご(の先端),4
622,chip,薄切り、かけら、（半導体の）チップ,4
623,choice,選択肢、選択、選ぶこと、選ばれた物［人］,4
624,choke,窒息させる、抑える、,4
625,choose,選ぶ,4
626,chore,日常の雑事、日課、つまらない仕事,4
627,Christianity,キリスト教,4
628,chronic,慢性の、長引く、常習の,4
629,chronicle,年代記、記録、物語、年代記に記録する,4
630,chuckle,くすくす笑う,4
631,cigarette,（紙）巻きタバコ,4
632,circle,円,4
633,circulate,循環する、循環させる、流通させる,4
634,circulation,循環、流通、発行部数、（情報などが）広まること,4
635,circumstance,状況、事情、生活状態、境遇,4
636,circumstances,状況,4
637,cite,引用する、（例として）挙げる,4
638,citizen,市民,4
639,civil,市民の、民間の、民事の,4
640,civilization,文明、文明化、文化的生活,4
641,claim,要求する、主張する、(人命を)奪う、要求、権利、主張,4
642,clap,拍手する、（手を）たたく、拍手,4
643,clarify,明らかにする、明らかになる,4
644,clash,対立〔衝突〕する、ガチャンと鳴る、衝突,4
645,class,階級、階層、クラス、授業,4
646,classic,傑作、古典、第一級の、典型的な、古典の,4
647,classical,クラシックの,4
648,classify,分類する、機密扱いにする,4
649,clay,粘土,4
650,clear,澄んだ、晴れた、明らかな、はっきりした、確信した,4
651,clearly,明らかに、はっきりと,4
652,clergy,聖職者,4
653,clerk,事務員、職員、店員,4
654,clever,賢い、利口な、うまい、巧妙な,4
655,click,クリックする、カチッと鳴らす、カチッと音がする,4
656,client,顧客、依頼人,4
657,climate,気候,4
658,climb,登る（こと）,4
659,cling,くっつく、固執する,4
660,clinic,診療所、クリニック、（病院内の）～科,4
661,clinical,臨床の、病院の,4
662,clip,切り抜く、切り取る、クリップで留める,4
663,clog,詰まらせる,4
664,clone,クローン、模造する、まったく同じような人[もの],4
665,close,接近した、親密な、綿密な、を閉める、閉まる,4
666,clothes,衣服,4
667,clue,手がかり、ヒント,4
